"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200414","MS","    Mississippi ","145","2986530","4.35288","10","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200426","NM","    New Mexico ","139","2095428","4.29507","43","44683","220","6.66993","0.059","Democrata","0.090","0.042"
"20200428","NV","    Nevada ","115","3034392","4.28422","173","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200408","NV","    Nevada ","231","3034392","4.28422","292","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200414","OH","    Ohio ","178","11689442","4.27736","41","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200430","MN","    Minnesota ","492","5611179","4.27718","168","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200428","MO","    Missouri ","132","6126452","4.24389","125","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200412","CO","    Colorado ","383","5695564","4.21381","473","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200426","IN","    Indiana ","617","6691878","4.18418","61","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200403","IL","    Illinois ","1209","12741080","4.15977","896","59725","73","88.60679","0.046","Democrata","0.070","0.037"
"20200421","OH","    Ohio ","734","11689442","4.10627","36","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200426","MI","    Michigan ","575","9995915","4.10168","154","51067","58","68.26165","0.041","Democrata","0.050","0.046"
"20200425","MN","    Minnesota ","261","5611179","4.09896","147","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200428","AL","    Alabama ","188","4887871","4.09176","28","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200407","OK","    Oklahoma ","145","3943079","4.05774","52","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200429","FL","    Florida ","347","21299325","4.03769","138","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200425","MS","    Mississippi ","284","2986530","4.01804","8","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200418","MS","    Mississippi ","181","2986530","4.01804","9","39840","85","24.57443","0.053","Republicano","0.120","0.037"
